code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
370800,8469047.0,141,济宁市,116.7349627,35.36850166,0.552486434,0.569192863,0.515383722,0.016706429,-0.053809141,s-d
370900,5764871.0,142,泰安市,117.0258318,36.00098447,0.428409571,0.524594725,0.363622469,0.096185154,-0.160972256,u-d
371000,2937487.0,143,威海市,121.982989,37.12021299,0.461849652,0.581505431,0.469284931,0.1196557789999999,-0.1122204999999999,u-d
371100,2939185.0,144,日照市,119.1351101,35.58295534,0.467069332,0.335840991,0.416613236,-0.131228341,0.080772245,d-u
371300,10527665.0,145,临沂市,118.2804686,35.30908739,0.718563417,0.718254824,0.539655778,-0.000308593,-0.1785990459999999,s-d
371400,5837846.0,146,德州市,116.6464057,37.2477231,0.54889288,0.579045329,0.430020821,0.030152449,-0.149024508,s-d
371500,6071636.0,147,聊城市,115.880558,36.45851776,0.52627625,0.502300123,0.509384697,-0.0239761269999999,0.0070845739999999,s-s
371600,3928745.0,148,滨州市,117.8376761,37.53162765,0.601382492,0.709591012,0.606218228,0.1082085199999999,-0.1033727839999999,u-d
371700,8736682.0,149,菏泽市,115.6924321,35.15043135,0.621190537,0.487316279,0.523061322,-0.133874258,0.0357450429999999,d-s
410100,9047384.0,150,郑州市,113.4689766,34.62787112,0.549728255,0.640436092,0.526253456,0.0907078369999999,-0.114182636,u-d
410200,4921328.0,151,开封市,114.5354602,34.60395183,0.373117125,0.356466463,0.248323434,-0.0166506619999999,-0.108143029,s-d
410300,6897611.0,152,洛阳市,112.0311679,34.29106922,0.463491621,0.32038004,0.414239376,-0.143111581,0.093859336,d-u
410400,5131972.0,153,平顶山市,112.9629734,33.94085377,0.540270971,0.446597232,0.478687803,-0.0936737389999999,0.032090571,d-s
410500,5454768.0,154,安阳市,114.6433447,35.47480729,0.54193837,0.614836729,0.440836027,0.0728983589999999,-0.1740007019999999,u-d
410600,1642450.0,155,鹤壁市,114.3687924,35.63933761,0.480416225,0.327534854,0.316192674,-0.152881371,-0.0113421799999999,d-s
410700,5971666.0,156,新乡市,114.0885382,35.26212749,0.51869896,0.486595684,0.435443994,-0.032103276,-0.0511516899999999,s-d
410800,3692371.0,157,焦作市,113.1291004,35.11685597,0.471386348,0.410133228,0.390339492,-0.0612531199999999,-0.019793736,d-s
410900,3775953.0,158,濮阳市,115.1724918,35.8070103,0.671282165,0.411531366,0.505407731,-0.259750799,0.093876365,d-u
411000,4472454.0,159,许昌市,113.7095601,34.07259161,0.455385445,0.25521144,0.336143297,-0.200174005,0.080931857,d-u
411100,2675692.0,160,漯河市,113.8998845,33.65574646,0.545033633,0.405736333,0.422762884,-0.1392972999999999,0.017026551,d-s
411200,2352753.0,161,三门峡市,110.7733042,34.22540864,0.515643515,0.455876044,0.544881275,-0.059767471,0.089005231,d-u
411300,10786580.0,162,南阳市,112.2845019,33.04274906,0.54592484,0.500136303,0.492111998,-0.0457885369999999,-0.008024305,s-s
411400,7740299.0,163,商丘市,115.6982094,34.28842065,0.547913875,0.33232614,0.514657723,-0.215587735,0.182331583,d-u
411500,6398890.0,164,信阳市,114.8838967,32.081181,0.509325199,0.320104759,0.421482328,-0.1892204399999999,0.101377569,d-u
411600,9382093.0,165,周口市,114.8777881,33.72175098,0.455891779,0.333668723,0.452854421,-0.122223056,0.119185698,d-u
411700,7572814.0,166,驻马店市,114.1508655,32.92337552,0.597989117,0.534620934,0.412169582,-0.063368183,-0.122451352,d-d
419001,709967.0,167,济源市,112.3918669,35.10028465,0.422671103,0.213047404,0.471715436,-0.209623699,0.258668032,d-u
420100,10252936.0,168,武汉市,114.3429581,30.62357271,0.458607062,0.54740631,0.425576252,0.0887992479999999,-0.1218300579999999,u-d
420200,2551653.0,169,黄石市,115.0252829,29.92682798,0.374578058,0.280421562,0.4097771,-0.0941564959999999,0.129355538,d-u
420300,3505810.0,170,十堰市,110.4420068,32.45611067,0.607605828,0.534273635,0.512553114,-0.0733321929999999,-0.0217205209999999,d-s
420500,4248006.0,171,宜昌市,111.1351465,30.74698162,0.597299019,0.47529078,0.560833065,-0.122008239,0.0855422849999999,d-u
420600,5761743.0,172,襄阳市,111.9367791,31.93081502,0.508122232,0.482859884,0.431591654,-0.0252623479999999,-0.05126823,s-d
420700,1096650.0,173,鄂州市,114.939396,30.31248073,0.415608634,0.332764855,0.326373893,-0.0828437789999999,-0.006390962,d-s
420800,3011574.0,174,荆门市,112.6082606,31.06895909,0.586707859,0.463097428,0.579552834,-0.123610431,0.116455406,d-u
420900,5048752.0,175,孝感市,113.8792056,31.11825705,0.374738565,0.272727876,0.291113724,-0.102010689,0.018385848,d-s
421000,5985734.0,176,荆州市,112.6631991,29.85453893,0.636130412,0.501489006,0.491504505,-0.1346414059999999,-0.009984501,d-s
421100,6478377.0,177,黄冈市,115.3397301,30.71586232,0.386360943,0.249775227,0.426381929,-0.136585716,0.176606702,d-u
